beta-value,expected-investment-return,avg-years-alive
0.0,0.03943,5.0
0.1,0.047367,5.03991
0.2,0.055304,5.46098
0.3,0.06324099999999999,5.88721
0.4,0.07117799999999999,6.37789
0.5,0.07911499999999999,7.0144
0.6,0.08705199999999999,7.82775
0.7,0.09498899999999999,8.96646
0.8,0.10292599999999999,10.44403
0.9,0.11086299999999999,12.17166
1.0,0.11879999999999999,14.00914
1.1,0.12673700000000002,15.64068
1.2,0.134674,17.05016
1.3,0.142611,18.24843
1.4,0.150548,19.40471
1.5,0.158485,20.26555
1.6,0.166422,20.90762
1.7,0.174359,21.47741
1.8,0.18229599999999999,22.00491
1.9,0.19023299999999999,22.35855
2.0,0.19816999999999999,22.65539
