,beta,score,forwardPE,currentRatio,profitMargin,debtToEquity,returnOnEquity,longBusinessSummary
SWBI,0.802043,10,2,2,2,2,2,"Smith & Wesson Brands, Inc. designs, manufactures, and sells firearms worldwide. The company offers handguns, including revolvers and pistols; long guns, such as modern sporting rifles, bolt action rifles; handcuffs; suppressors; and other firearm-related products under the Smith & Wesson, M&P, and Gemtech brands. It also provides manufacturing services comprising forging, heat treating, rapid prototyping, tooling, finishing, plating, machining, and custom plastic injection molding to other businesses under the Smith & Wesson and Smith & Wesson Precision Components brand names; and sells parts purchased through third parties. The company sells its products to firearm enthusiasts, collectors, hunters, sportsmen, competitive shooters, individuals desiring home and personal protection, law enforcement, security agencies and officers, and military agencies. It markets its products through independent dealers, retailers, in-store retails, and direct to consumers; print, broadcast, and digital advertising campaigns; social and electronic media; and in-store retail merchandising strategies. Smith & Wesson Brands, Inc. was founded in 1852 and is based in Springfield, Massachusetts."
MOV,1.163899,9,2,2,1,2,2,"Movado Group, Inc. designs, sources, markets, and distributes watches worldwide. The company operates in two segments, Watch and Accessory Brands, and Company Stores. It offers its watches under the Movado, Concord, Ebel, Olivia Burton, and MVMT brands, as well as licensed brands, such as Coach, Tommy Hilfiger, HUGO BOSS, Lacoste, Calvin Klein, and Scuderia Ferrari. The company also provides after-sales and shipping services. Its customers include jewelry store chains, department stores, independent regional jewelers, network of independent distributors, online marketplaces, licensors' retail stores, and third-party e-commerce retailers. The company also sells directly to consumers through its e-commerce platforms. As of January 31, 2022, it operated 51 retail outlet locations. The company was formerly known as North American Watch Corporation and changed its name to Movado Group, Inc. in 1996. Movado Group, Inc. was founded in 1961 and is based in Paramus, New Jersey."
GRMN,1.013197,9,2,2,2,2,1,"Garmin Ltd. designs, develops, manufactures, markets, and distributes a range of wireless devices in the Americas, the Asia Pacific, Australian Continent, Europe, the Middle East, and Africa. Its Fitness segment offers running and multi-sport watches; cycling products; activity tracking and smartwatch devices; and fitness and cycling accessories. This segment also provides Garmin Connect and Garmin Connect Mobile, which are web and mobile platforms; and Connect IQ, an application development platform. The company's Outdoor segment offers adventure watches, outdoor handhelds, golf devices and mobile apps, and dog tracking and training devices. Its Aviation segment designs, manufactures, and markets various aircraft avionics solutions comprising integrated flight decks, electronic flight displays and instrumentation, navigation and communication products, automatic flight control systems and safety-enhancing technologies, audio control systems, engine indication systems, traffic awareness and avoidance solutions, ADS-B and transponder solutions, weather information and avoidance solutions, datalink and connectivity solutions, portable GPS navigators and wearables, and various services products. The company's Marine segment provides chartplotters and multi-function displays, cartography products, fish finders, sonar products, autopilot systems, radars, compliant instrument displays and sensors, VHF communication radios, handhelds and wearable devices, sailing products, entertainment, digital switching products, and trolling motors. Its Auto segment offers embedded computing models and infotainment systems; personal navigation devices; and cameras. The company sells its products through independent retailers, online retailers, dealers, distributors, installation and repair shops, and original equipment manufacturers, as well as an online webshop, garmin.com. Garmin Ltd. was founded in 1989 and is based in Schaffhausen, Switzerland."
WH,1.531603,8,2,1,2,1,2,"Wyndham Hotels & Resorts, Inc. operates as a hotel franchisor worldwide. It operates through Hotel Franchising and Hotel Management segments. The Hotel Franchising segment licenses its lodging brands and provides related services to third-party hotel owners and others. The Hotel Management segment provides hotel management services for full-service and limited-service hotels. It is also involved in the reward loyalty program business. The company's hotel brand portfolios include Super 8, Days Inn, Travelodge, Microtel, Howard Johnson, La Quinta, Ramada, Baymont, AmericInn, Wingate, Wyndham Alltra, Wyndham Garden, Ramada Encore, Hawthorn, Registry Collection, Trademark Collection, TRYP, Dazzler, Esplendor, Wyndham Grand, Dolce, and Wyndham. As of March 29, 2022, it operated a portfolio of 22 hotel brands with approximately 9,000 hotels with approximately 8,10,000 rooms in approximately 95 countries. The company was incorporated in 2017 and is headquartered in Parsippany, New Jersey."
WSM,1.521072,8,2,1,1,2,2,"Williams-Sonoma, Inc. operates as an omni-channel specialty retailer of various products for home. It offers cooking, dining, and entertaining products, such as cookware, tools, electrics, cutlery, tabletop and bar, outdoor, furniture, and a library of cookbooks under the Williams Sonoma Home brand, as well as home furnishings and decorative accessories under the Williams Sonoma lifestyle brand; and furniture, bedding, lighting, rugs, table essentials, and decorative accessories under the Pottery Barn brand. The company also provides home decor products under the West Elm brand; kids accessories under the Pottery Barn Kids brand; and an organic bedding to multi-purpose furniture under the Pottery Barn Teen brand. In addition, it offers made-to-order lighting, hardware, furniture, and home decors inspired by history under the Rejuvenation brand; and women's and men's accessories, travel, entertaining and bar, home décor, and seasonal items under the Mark and Graham brand, as well as operates a 3-D imaging and augmented reality platform for the home furnishings and décor industry. The company markets its products through e-commerce websites, direct-mail catalogs, and retail stores. It operates 544 stores comprising 502 stores in 41states, Washington, D.C., and Puerto Rico; 20 stores in Canada; 19 stores in Australia; 3 stores in the United Kingdom; and 139 franchised stores, as well as e-commerce websites in various countries in the Middle East, the Philippines, Mexico, South Korea, and India. Williams-Sonoma, Inc. was founded in 1956 and is headquartered in San Francisco, California."
NKE,1.005534,8,1,2,1,2,2,"NIKE, Inc., together with its subsidiaries, designs, develops, markets, and sells men's, women's, and kids athletic footwear, apparel, equipment, and accessories worldwide. The company provides athletic and casual footwear, apparel, and accessories under the Jumpman trademark; and casual sneakers, apparel, and accessories under the Converse, Chuck Taylor, All Star, One Star, Star Chevron, and Jack Purcell trademarks. In addition, it sells a line of performance equipment and accessories comprising bags, socks, sport balls, eyewear, timepieces, digital devices, bats, gloves, protective equipment, and other equipment for sports activities under the NIKE brand; and various plastic products to other manufacturers. The company markets apparel with licensed college and professional team, and league logos, as well as sells sports apparel. Additionally, it licenses unaffiliated parties to manufacture and sell apparel, digital devices, and applications and other equipment for sports activities under NIKE-owned trademarks. The company sells its products to footwear stores; sporting goods stores; athletic specialty stores; department stores; skate, tennis, and golf shops; and other retail accounts through NIKE-owned retail stores, digital platforms, independent distributors, licensees, and sales representatives. The company was formerly known as Blue Ribbon Sports, Inc. and changed its name to NIKE, Inc. in 1971. NIKE, Inc. was founded in 1964 and is headquartered in Beaverton, Oregon."
MAT,1.268624,7,2,1,1,1,2,"Mattel, Inc., a children's entertainment company, designs and produces toys and consumer products worldwide. The company operates through North America, International, and American Girl segments. It offers dolls and accessories, as well as content, gaming, and lifestyle products for children under the Barbie, Monster High, American Girl, Polly Pocket, Spirit, and Enchantimals brands; dolls and books under the American Girl brand name; die-cast vehicles, tracks, playsets, and accessories for kids of all ages, and collectors under the Hot Wheels, Monster Trucks, Matchbox, CARS, and Mario Kart brand names; and infant, toddler, and preschool products comprising content, toys, live events, and other lifestyle products under the Fisher-Price and Thomas & Friends, Power wheels, and Fireman Sam brands. The company also provides action figures, building sets, and games under the Masters of the Universe, MEGA, UNO, Lightyear, Jurassic World, WWE, and Star Wars brands; and licensor partner brands, including Disney, NBCUniversal, WWE, Microsoft, Nickelodeon, Warner Bros, and Sanrio. It sells its products directly to consumers through its catalog, website, and proprietary retail stores; retailers, including discount and free-standing toy stores, chain stores, department stores, and other retail outlets; and wholesalers, as well as through agents and distributors. Mattel, Inc. was founded in 1945 and is headquartered in El Segundo, California."
BBW,1.836951,7,2,1,0,2,2,"Build-A-Bear Workshop, Inc. operates as a multi-channel retailer of plush animals and related products. The company operates through three segments: Direct-to-Consumer, Commercial, and International Franchising. Its merchandise comprises various styles of plush products to be stuffed, pre-stuffed plush products, and sounds and scents that can be added to the stuffed animals, as well as range of clothing, shoes, accessories, and other toy and novelty items. The company operates its stores under the Build-A-Bear Workshop brand name; and sells its products through its e-commerce sites. As of January 29, 2022, it operated 346 stores, including 305 stores in the United States and Canada; and 41 stores in the United Kingdom and Ireland, as well as 72 franchised stores internationally. The company was founded in 1997 and is headquartered in St. Louis, Missouri."
LCII,1.40315,7,2,2,0,1,2,"LCI Industries, together with its subsidiaries, manufactures and supplies components for the manufacturers of recreational vehicles (RVs) and adjacent industries in the United States and internationally. It operates in two segments, Original Equipment Manufacturers (OEM) and Aftermarket. The OEM segment manufactures and distributes a range of engineered components, such as steel chassis and related components; axles and suspension solutions; slide-out mechanisms and solutions; thermoformed bath, kitchen, and other products; vinyl, aluminum, and frameless windows; manual, electric, and hydraulic stabilizer and leveling systems; entry, luggage, patio, and ramp doors; furniture and mattresses; electric and manual entry steps; awnings and awning accessories; towing products; truck accessories; electronic components; appliances; air conditioners; televisions and sound systems; and other accessories. This segment serves OEMs of RVs and adjacent industries, including buses; trailers used to haul boats, livestock, equipment, and other cargo; trucks; boats; trains; manufactured homes; and modular housing, as well as travel trailers, fifth-wheel travel trailers, folding camping trailers, and truck campers. The Aftermarket segment supplies various components of RV and adjacent industries to retail dealers, wholesale distributors, and service centers. This segment also sells replacement glass and awnings to fulfill insurance claims; and biminis, covers, buoys, and fenders to the marine industry. The company was formerly known as Drew Industries Incorporated and changed its name to LCI Industries in December 2016. LCI Industries was incorporated in 1984 and is based in Elkhart, Indiana."
TCS,1.300979,6,2,1,0,1,2,"The Container Store Group, Inc. operates as a retailer of storage and organization products and solutions in the United States. The company operates in two segments, The Container Store and Elfa. It provides approximately 11,000 products designed to help customers. Its merchandise category includes custom closets, such as elfa Classic, elfa Decor, Laren, and Avera branded products, as well as closet lifestyle department and wood-based products; wood-based custom home storage and organization solutions; and customized solutions for closets, garages, home offices, pantries, laundry rooms, murphy beds, and built-in wall units. In addition, the company designs, manufactures, and sells component-based shelving and drawer systems that are customizable for any area of the home comprising closets, kitchens, offices, and garages, as well as made-to-measure sliding doors in the Nordic region of Europe. As of April 2, 2022, it operated 94 stores with an average size of approximately 25,000 square feet in 33 states and the District of Columbia. The company offers its products directly to customers through its website, responsive mobile site, and call center, as well as sells to various retailers and distributors on wholesale basis. The Container Store Group, Inc. was founded in 1978 and is headquartered in Coppell, Texas."
