,beta,score,forwardPE,currentRatio,profitMargin,debtToEquity,returnOnEquity,longBusinessSummary
FIZZ,0.843763,7,1,1,1,2,2,"National Beverage Corp., through its subsidiaries, develops, produces, markets, and sells a portfolio of sparkling waters, juices, energy drinks, and carbonated soft drinks primarily in the United States and Canada. The company offers beverages to the active and health-conscious consumers, including sparkling waters, energy drinks, and juices under the LaCroix, LaCroix Cúrate, LaCroix NiCola, Clear Fruit, Rip It, Everfresh, Everfresh Premier Varietals, and Mr. Pure brands. It also offers carbonated soft drinks under the Shasta and Faygo brands. The company serves retailers, as well as various smaller up-and-down-the-street accounts through the take-home, convenience, and food-service distribution channels. National Beverage Corp. was incorporated in 1985 and is based in Fort Lauderdale, Florida."
RKT,,7,2,2,0,1,2,"Rocket Companies, Inc. engages in the tech-driven real estate, mortgage, and e-Commerce businesses in the United States and Canada. It operates through two segments, Direct to Consumer and Partner Network. The company's solutions include Rocket Mortgage, a mortgage lender; Amrock that provides title insurance, property valuation, and settlement services; Rocket Homes, a home search platform and real estate agent referral network, which offers technology-enabled services to support the home buying and selling experience; Rocket Auto, an automotive retail marketplace that provides centralized and virtual car sales support to online car purchasing platforms; and Rocket Loans, an online-based personal loans business. It also offer Core Digital Media, a digital social and display advertiser in the mortgage, insurance, and education sectors; Rocket Solar, which connect homeowners with digital financing solutions through a team of trained solar advisors; Truebill, a personal finance app that helps clients manage every aspect of their financial lives; Lendesk, a technology services company that provides a point of sale system for mortgage professionals and a loan origination system for private lenders; and Edison Financial, a digital mortgage broker. In addition, the company originates, closes, sells, and services agency-conforming loans. Rocket Companies, Inc. was founded in 1985 and is headquartered in Detroit, Michigan. Rocket Companies, Inc. operates as a subsidiary of Rock Holdings, Inc."
KO,0.557684,7,1,1,2,1,2,"The Coca-Cola Company, a beverage company, manufactures, markets, and sells various nonalcoholic beverages worldwide. The company provides sparkling soft drinks; flavored and enhanced water, and sports drinks; juice, dairy, and plantbased beverages; tea and coffee; and energy drinks. It also offers beverage concentrates and syrups, as well as fountain syrups to fountain retailers, such as restaurants and convenience stores. The company sells its products under the Coca-Cola, Diet Coke/Coca-Cola Light, Coca-Cola Zero Sugar, Fanta, Fresca, Schweppes, Sprite, Thums Up, Aquarius, Ciel, dogadan, Dasani, glacéau smartwater, glacéau vitaminwater, Ice Dew, I LOHAS, Powerade, Topo Chico, AdeS, Del Valle, fairlife, innocent, Minute Maid, Minute Maid Pulpy, Simply, Ayataka, BODYARMOR, Costa, FUZE TEA, Georgia, and Gold Peak brands. It operates through a network of independent bottling partners, distributors, wholesalers, and retailers, as well as through bottling and distribution operators. The company was founded in 1886 and is headquartered in Atlanta, Georgia."
TSN,0.679863,7,2,1,0,2,2,"Tyson Foods, Inc., together with its subsidiaries, operates as a food company worldwide. It operates through four segments: Beef, Pork, Chicken, and Prepared Foods. The company processes live fed cattle and live market hogs; fabricates dressed beef and pork carcasses into primal and sub-primal meat cuts, as well as case ready beef and pork, and fully cooked meats; raises and processes chickens into fresh, frozen, and value-added chicken products; and supplies poultry breeding stock; sells specialty products, such as hides and meats. It also manufactures and markets frozen and refrigerated food products, including ready-to-eat sandwiches, flame-grilled hamburgers, Philly steaks, pepperoni, bacon, breakfast sausage, turkey, lunchmeat, hot dogs, flour and corn tortilla products, appetizers, snacks, prepared meals, ethnic foods, side dishes, meat dishes, breadsticks, and processed meats under the Jimmy Dean, Hillshire Farm, Ball Park, Wright, State Fair, Aidells, and Gallo Salame brands. The company also offers its products under Tyson and ibp brands. It sells its products through its sales staff to grocery retailers, grocery wholesalers, meat distributors, warehouse club stores, military commissaries, industrial food processing companies, chain restaurants or their distributors, live markets, international export companies, and domestic distributors who serve restaurants and food service operations, such as plant and school cafeterias, convenience stores, hospitals, and other vendors, as well as through independent brokers and trading companies. The company was founded in 1935 and is headquartered in Springdale, Arkansas."
PG,0.386121,6,1,0,1,2,2,"The Procter & Gamble Company provides branded consumer packaged goods worldwide. It operates through five segments: Beauty; Grooming; Health Care; Fabric & Home Care; and Baby, Feminine & Family Care. The Beauty segment offers conditioners, shampoos, styling aids, and treatments under the Head & Shoulders, Herbal Essences, Pantene, and Rejoice brands; and antiperspirants and deodorants, personal cleansing, and skin care products under the Olay, Old Spice, Safeguard, Secret, and SK-II brands. The Grooming segment provides shave care products and appliances under the Braun, Gillette, and Venus brand names. The Health Care segment offers toothbrushes, toothpastes, and other oral care products under the brand names of Crest and Oral-B; and gastrointestinal, rapid diagnostics, respiratory, vitamins/minerals/supplements, pain relief, and other personal health care products under the Metamucil, Neurobion, Pepto-Bismol, and Vicks brands. The Fabric & Home Care segment provides fabric enhancers, laundry additives, and laundry detergents under the Ariel, Downy, Gain, and Tide brands; and air care, dish care, P&G professional, and surface care products under the Cascade, Dawn, Fairy, Febreze, Mr. Clean, and Swiffer brands. The Baby, Feminine & Family Care segment offers baby wipes, taped diapers, and pants under the Luvs and Pampers brands; adult incontinence and feminine care products under the Always, Always Discreet, and Tampax brands; and paper towels, tissues, and toilet papers under the Bounty, Charmin, and Puffs brands. The company sells its products primarily through mass merchandisers, e-commerce, grocery stores, membership club stores, drug stores, department stores, distributors, wholesalers, specialty beauty stores, high-frequency stores, pharmacies, electronics stores, and professional channels, as well as directly to consumers. The Procter & Gamble Company was founded in 1837 and is headquartered in Cincinnati, Ohio."
SFM,0.40315,6,2,1,0,1,2,"Sprouts Farmers Market, Inc. offers fresh, natural, and organic food products in the United States. The company offers perishable product categories, including fresh produce, meat, seafood, deli, bakery, floral and dairy, and dairy alternatives; and non-perishable product categories, such as grocery, vitamins and supplements, bulk items, frozen foods, beer and wine, and natural health and body care. As of January 2, 2022, it operated 374 stores in 23 states. Sprouts Farmers Market, Inc. was founded in 2002 and is headquartered in Phoenix, Arizona."
GIS,0.359301,5,1,0,1,1,2,"General Mills, Inc. manufactures and markets branded consumer foods worldwide. The company operates in five segments: North America Retail; Convenience Stores & Foodservice; Europe & Australia; Asia & Latin America; and Pet. It offers ready-to-eat cereals, refrigerated yogurt, soup, meal kits, refrigerated and frozen dough products, dessert and baking mixes, bakery flour, frozen pizza and pizza snacks, snack bars, fruit and salty snacks, ice cream, nutrition bars, wellness beverages, and savory and grain snacks, as well as various organic products, including frozen and shelf-stable vegetables. It also supplies branded and unbranded food products to the North American foodservice and commercial baking industries; and manufactures and markets pet food products, including dog and cat food. The company markets its products under the Annie's, Betty Crocker, Bisquick, Blue Buffalo, Blue Basics, Blue Freedom, Bugles, Cascadian Farm, Cheerios, Chex, Cinnamon Toast Crunch, Cocoa Puffs, Cookie Crisp, EPIC, Fiber One, Food Should Taste Good, Fruit by the Foot, Fruit Gushers, Fruit Roll-Ups, Gardetto's, Go-Gurt, Gold Medal, Golden Grahams, Häagen-Dazs, Helpers, Jus-Rol, Kitano, Kix, Lärabar, Latina, Liberté, Lucky Charms, Muir Glen, Nature Valley, Oatmeal Crisp, Old El Paso, Oui, Pillsbury, Progresso, Raisin Nut Bran, Total, Totino's, Trix, Wanchai Ferry, Wheaties, Wilderness, Yoki, and Yoplait trademarks. It sells its products directly, as well as through broker and distribution arrangements to grocery stores, mass merchandisers, membership stores, natural food chains, e-commerce retailers, commercial and noncommercial foodservice distributors and operators, restaurants, convenience stores, and pet specialty stores, as well as drug, dollar, and discount chains. The company operates 466 leased and 392 franchise ice cream parlors. General Mills, Inc. was founded in 1866 and is headquartered in Minneapolis, Minnesota."
HSY,0.326947,-1,0,0,1,1,2,"The Hershey Company, together with its subsidiaries, engages in the manufacture and sale of confectionery products and pantry items in the United States and internationally. The company operates through three segments: North America Confectionery, North America Salty Snacks, and International. It offers chocolate and non-chocolate confectionery products; gum and mint refreshment products, including mints, chewing gums, and bubble gums; pantry items, such as baking ingredients, toppings, beverages, and sundae syrups; and snack items comprising spreads, meat snacks, bars and snack bites, mixes, popcorn, and protein bars. The company provides its products primarily under the Hershey's, Reese's, Kisses, Jolly Rancher, Almond Joy, Brookside, barkTHINS, Cadbury, Good & Plenty, Heath, Kit Kat, Payday, Rolo, Twizzlers, Whoppers, York, Ice Breakers, Breath Savers, Bubble Yum, Lily's, SkinnyPop, Pirates Booty, Paqui, Dot's Homestyle Pretzels, and ONE Bar brands, as well as under the Pelon Pelo Rico, IO-IO, and Sofit brands. It markets and sells its products to wholesale distributors, chain grocery stores, mass merchandisers, chain drug stores, vending companies, wholesale clubs, convenience stores, dollar stores, concessionaires, and department stores. The company was founded in 1894 and is headquartered in Hershey, Pennsylvania."
RADL3,-1.0,-1,-1,-1,-1,-1,-1,-1
REV,2.314601,-1,0,1,0,-1,-1,"Revlon, Inc., together with its subsidiaries, develops, manufactures, markets, distributes, and sells beauty and personal care products worldwide. The company's Relvon segment offers color cosmetics and beauty tools under the Revlon brand; and hair color under the Revlon ColorSilk and Revlon Professional brands. Its Elizabeth Arden segment markets, distributes, and sells skin care products under the Elizabeth Arden Ceramide, Prevage, Eight Hour, SUPERSTART, Visible Difference, and Skin Illuminating brands; and fragrances under the Elizabeth Arden White Tea, Elizabeth Arden Red Door, Elizabeth Arden 5th Avenue, and Elizabeth Arden Green Tea brands. The company's Portfolio segment offers color cosmetics under the Almay and SinfulColors brands; men's grooming products under the American Crew brand; nail polishes, gel nail color, and nail enhancements under the CND brand; nail care products under the Cutex brand; anti-perspirant deodorants under the Mitchum brand; hair care products under the Creme of Nature; and hair color line under the Llongueras brand. Its Fragrances segment develops, markets, and distributes owned and licensed fragrances, as well as distributes prestige fragrance brands owned by third parties. This segment offers its products under the Juicy Couture, John Varvatos, AllSaints, Britney Spears, Elizabeth Taylor, Christina Aguilera, Jennifer Aniston, Mariah Carey, Curve, Giorgio Beverly Hills, Ed Hardy, Charlie, Lucky Brand, Alfred Sung, Halston, Geoffrey Beene, and White Diamonds brands. It sells its products through sales force, sales representatives, independent distributors, mass and prestige retail, e-commerce sites, department stores, and specialty cosmetics stores, as well as licenses its Revlon and other trademarks to the manufacturers of complementary beauty-related products and accessories. Revlon, Inc. was founded in 1932 and is based in New York, New York. On June 15, 2022, Revlon, Inc., along with its affiliates, filed a voluntary petition for reorganization under Chapter 11 in the U.S. Bankruptcy Court for the Southern District of New York."
