,beta,score,forwardPE,currentRatio,profitMargin,debtToEquity,returnOnEquity,longBusinessSummary
SU,1.783905,7,2,1,1,2,1,"Suncor Energy Inc. operates as an integrated energy company. The company primarily focuses on developing petroleum resource basins in Canada's Athabasca oil sands; explores, acquires, develops, produces, transports, refines, and markets crude oil in Canada and internationally; markets petroleum and petrochemical products under the Petro-Canada name primarily in Canada. It operates through Oil Sands; Exploration and Production; Refining and Marketing; and Corporate and Eliminations segments. The Oil Sands segment recovers bitumen from mining and in situ operations, and upgrades it into refinery feedstock and diesel fuel, or blends the bitumen with diluent for direct sale to market. The Exploration and Production segment is involved in offshore operations off the east coast of Canada and in the North Sea; and operating onshore assets in Libya and Syria. The Refining and Marketing segment refines crude oil and intermediate feedstock into various petroleum and petrochemical products; and markets refined petroleum products to retail, commercial, and industrial customers through its other retail sellers. The Corporate and Eliminations segment operates four wind farms in Ontario and Western Canada. The company also markets and trades in crude oil, natural gas, byproducts, refined products, and power. The company was formerly known as Suncor Inc. and changed its name to Suncor Energy Inc. in April 1997. Suncor Energy Inc. was founded in 1917 and is headquartered in Calgary, Canada."
PSX,1.428693,7,2,1,0,2,2,"Phillips 66 operates as an energy manufacturing and logistics company. It operates through four segments: Midstream, Chemicals, Refining, and Marketing and Specialties (M&S). The Midstream segment transports crude oil and other feedstocks; delivers refined petroleum products to market; provides terminaling and storage services for crude oil and refined petroleum products; transports, stores, fractionates, exports, and markets natural gas liquids; provides other fee-based processing services; and gathers, processes, transports, and markets natural gas. The Chemicals segment produces and markets ethylene and other olefin products; aromatics and styrenics products, such as benzene, cyclohexane, styrene, and polystyrene; and various specialty chemical products, including organosulfur chemicals, solvents, catalysts, and chemicals used in drilling and mining. The Refining segment refines crude oil and other feedstocks into petroleum products, such as gasolines, distillates, aviation, and renewable fuels at 12 refineries in the United States and Europe. The M&S segment purchases for resale and markets refined petroleum products, including gasolines, distillates, and aviation fuels primarily in the United States and Europe. This segment also manufactures and markets specialty products, such as base oils and lubricants. The company was founded in 1875 and is headquartered in Houston, Texas."
XOM,1.051936,6,1,1,0,2,2,"Exxon Mobil Corporation explores for and produces crude oil and natural gas in the United States and internationally. It operates through Upstream, Downstream, and Chemical segments. The company is also involved in the manufacture, trade, transport, and sale of crude oil, natural gas, petroleum products, petrochemicals, and other specialty products; manufactures and sells petrochemicals, including olefins, polyolefins, aromatics, and various other petrochemicals; and captures and stores carbon, hydrogen, and biofuels. As of December 31, 2021, it had approximately 20,528 net operated wells with proved reserves. The company was founded in 1870 and is headquartered in Irving, Texas."
CVX,1.132822,4,1,-1,1,2,-1,"Chevron Corporation, through its subsidiaries, engages in integrated energy and chemicals operations worldwide. The company operates in two segments, Upstream and Downstream. The Upstream segment is involved in the exploration, development, production, and transportation of crude oil and natural gas; processing, liquefaction, transportation, and regasification associated with liquefied natural gas; transportation of crude oil through pipelines; and transportation, storage, and marketing of natural gas, as well as operates a gas-to-liquids plant. The Downstream segment engages in refining crude oil into petroleum products; marketing crude oil, refined products, and lubricants; manufacturing and marketing of renewable fuels; transporting crude oil and refined products by pipeline, marine vessel, motor equipment, and rail car; and manufacturing and marketing of commodity petrochemicals, plastics for industrial uses, and fuel and lubricant additives. It is also involved in the cash management and debt financing activities; insurance operations; real estate activities; and technology businesses. The company was formerly known as ChevronTexaco Corporation and changed its name to Chevron Corporation in 2005. Chevron Corporation was founded in 1879 and is based in San Ramon, California."
AMTX,0.414644,-1,0,0,0,-1,-1,"Aemetis, Inc. operates as a renewable natural gas and renewable fuels company in North America and India. It operates through three segments: California Ethanol, Dairy Renewable Natural Gas, and India Biodiesel. The company focuses on the acquisition, development, and commercialization of negative carbon intensity products and technologies that replace traditional petroleum-based products. It sells biodiesel primarily to government oil marketing companies, transport companies, resellers, distributors, and private refiners through its own sales force and independent sales agents, as well as to brokers who resell the product to end-users. The company also produces and sells ethanol; and wet distillers grains, distillers corn oil, and condensed distillers solubles to dairies and feedlots as animal feed. In addition, it produces dairy biogas; produces and sells high-grade alcohol and various feed products, as well as hand sanitizers; and researches and develops conversion technologies using waste feedstocks to produce biofuels and biochemicals. The company was formerly known as AE Biofuels, Inc. and changed its name to Aemetis, Inc. in November 2011. Aemetis, Inc. was founded in 2005 and is headquartered in Cupertino, California."
NOV,1.886334,-1,0,2,0,2,0,"NOV Inc. designs, constructs, manufactures, and sells systems, components, and products for oil and gas drilling and production, and industrial and renewable energy sectors worldwide. The company operates through three segments: Wellbore Technologies, Completion & Production Solutions, and Rig Technologies. It also provides solids control and waste management equipment and services; portable power generation products; drill and wired pipes; drilling optimization and automation services; tubular inspection, repair, and coating services; instrumentation; measuring and monitoring services; downhole and fishing tools; steerable technologies; and drill bits. The company offers equipment and technologies for hydraulic fracture stimulation, including downhole multistage fracturing tools, pressure pumping trucks, blenders, sanders, hydration and injection units, flowline, and manifolds; coiled tubing units, and wireline units and tools; connections and liner hangers; onshore production consists of composite pipe, surface transfer and progressive cavity pumps, and artificial lift systems; and offshore production, such as floating production systems and subsea production technologies, as well as manufactures industrial pumps and mixers. It also provides substructures, derricks, and masts; cranes; jacking systems; pipe lifting, racking, rotating, and assembly systems; mud pumps; pressure control equipment; drives and generators; rig instrumentation and control systems; mooring, anchor, and deck handling machinery; equipment components for offshore wind construction vessels; and pipelay and construction systems. NOV Inc. offers spare parts, repair, and rentals as well as comprehensive remote equipment monitoring, technical support, field service, and customer training. The company was formerly known as National Oilwell Varco, Inc. and changed its name to NOV Inc. in January 2021. NOV Inc. was founded in 1862 and is based in Houston, Texas."
TLW,-1.0,-1,-1,-1,-1,-1,-1,-1
TRP,0.782217,-1,2,0,2,1,0,"TC Energy Corporation operates as an energy infrastructure company in North America. It operates through five segments: Canadian Natural Gas Pipelines; U.S. Natural Gas Pipelines; Mexico Natural Gas Pipelines; Liquids Pipelines; and Power and Storage. The company builds and operates 93,300 km network of natural gas pipelines, which transports natural gas from supply basins to local distribution companies, power generation plants, industrial facilities, interconnecting pipelines, LNG export terminals, and other businesses. It also has regulated natural gas storage facilities with a total working gas capacity of 535 billion cubic feet. In addition, it has approximately 4,900 km liquids pipeline system that connects Alberta crude oil supplies to refining markets in Illinois, Oklahoma, Texas, and the U.S. Gulf Coast. Further, the company owns or has interests in seven power generation facilities with a combined capacity of approximately 4,300 megawatts that are powered by natural gas and nuclear fuel sources located in Alberta, Ontario, Québec, and New Brunswick; and owns and operates approximately 118 billion cubic feet of non-regulated natural gas storage capacity in Alberta. The company was formerly known as TransCanada Corporation and changed its name to TC Energy Corporation in May 2019. TC Energy Corporation was incorporated in 1951 and is headquartered in Calgary, Canada."
SUN,1.499787,-1,2,1,0,0,2,"Sunoco LP, together with its subsidiaries, distributes and retails motor fuels in the United States. It operates in two segments, Fuel Distribution and Marketing, and All Other. The Fuel Distribution and Marketing segment purchases motor fuel from independent refiners and oil companies and supplies it to independently operated dealer stations, distributors and other consumer of motor fuel, and partnership operated stations, as well as to commission agent locations. The All Other segment operates retail stores that offer motor fuel, merchandise, foodservice, and other services that include credit card processing, car washes, lottery, automated teller machines, money orders, prepaid phone cards, and wireless services. It also leases and subleases real estate properties; and operates terminal facilities on the Hawaiian Islands. As of December 31, 2021, the company operated 78 retail stores in Hawaii and New Jersey. Sunoco GP LLC serves as the general partner of the company. The company was formerly known as Susser Petroleum Partners LP and changed its name to Sunoco LP in October 2014. Sunoco LP was founded in 1886 and is headquartered in Dallas, Texas."
RDSA,-1.0,-1,-1,-1,-1,-1,-1,-1
