,beta,score,forwardPE,currentRatio,profitMargin,debtToEquity,returnOnEquity,longBusinessSummary
REGN,0.31077,10,2,2,2,2,2,"Regeneron Pharmaceuticals, Inc. discovers, invents, develops, manufactures, and commercializes medicines for treating various diseases worldwide. The company's products include EYLEA injection to treat wet age-related macular degeneration and diabetic macular edema; myopic choroidal neovascularization; and diabetic retinopathy, as well as macular edema following retinal vein occlusion, including macular edema following central retinal vein occlusion and macular edema following branch retinal vein occlusion. It also provides Dupixent injection to treat atopic dermatitis and asthma in adults and pediatrics; Libtayo injection to treat metastatic or locally advanced cutaneous squamous cell carcinoma;Praluent injection for heterozygous familial hypercholesterolemia or clinical atherosclerotic cardiovascular disease in adults; REGEN-COV for covid-19; and Kevzara solution for treating rheumatoid arthritis in adults. In addition, the company offers Inmazeb injection for infection caused by Zaire ebolavirus; ARCALYST injection for cryopyrin-associated periodic syndromes, including familial cold auto-inflammatory syndrome and muckle-wells syndrome; and ZALTRAP injection for intravenous infusion to treat metastatic colorectal cancer; and develops product candidates for treating patients with eye, allergic and inflammatory, cardiovascular and metabolic, infectious, and rare diseases; and cancer, pain, and hematologic conditions. It has collaboration and license agreements with Sanofi; Bayer; Teva Pharmaceutical Industries Ltd.; Mitsubishi Tanabe Pharma Corporation; Alnylam Pharmaceuticals, Inc.; Roche Pharmaceuticals; and Kiniksa Pharmaceuticals, Ltd., as well as has an agreement with the U.S. Department of Health and Human Services, as well as with Zai Lab Limited; Intellia Therapeutics, Inc.; Biomedical Advanced Research Development Authority; and AstraZeneca PLC. The company was incorporated in 1988 and is headquartered in Tarrytown, New York."
NVS,0.497843,9,2,1,2,2,2,"Novartis AG researches, develops, manufactures, and markets healthcare products worldwide. The company operates through two segments, Innovative Medicines and Sandoz. The Innovative Medicines segment offers prescription medicines for patients and healthcare providers. It also provides ophthalmology, neuroscience, immunology, hepatology, dermatology, respiratory, cardiovascular, renal, and metabolism medicine products. The Sandoz segment develops, manufactures, and markets finished dosage form medicines; active ingredients and finished dosage forms of small molecule pharmaceuticals to third parties; and retail generics and anti-infectives. It also provides active pharmaceutical ingredients and intermediates primarily antibiotics; protein- or other biotechnology-based products, including biosimilars; and biotechnology manufacturing services. Novartis AG has a license and collaboration agreement with Alnylam Pharmaceuticals to develop, manufacture, and commercialize inclisiran; and a clinical collaboration with Kura Oncology, Inc. to evaluate the combination of Tipifarnib and Alpelisib in patients with head and neck squamous cell carcinoma. The company was incorporated in 1996 and is headquartered in Basel, Switzerland."
JNJ,0.630055,8,2,1,1,2,2,"Johnson & Johnson, together with its subsidiaries, researches and develops, manufactures, and sells various products in the healthcare field worldwide. The company's Consumer Health segment offers baby care products under the JOHNSON'S and AVEENO Baby brands; oral care products under the LISTERINE brand; skin health/beauty products under the AVEENO, CLEAN & CLEAR, DR. CI:LABO, NEUTROGENA, and OGX brands; TYLENOL acetaminophen products; SUDAFED cold, flu, and allergy products; BENADRYL and ZYRTEC allergy products; MOTRIN IB ibuprofen products; NICORETTE smoking cessation products; and PEPCID acid reflux products. It also offers STAYFREE and CAREFREE sanitary pads; o.b. tampons; adhesive bandages under the BAND-AID brand; and first aid products under the NEOSPORIN brand. It serves general public, retail outlets, and distributors. The company's Pharmaceutical segment offers products for rheumatoid arthritis, psoriatic arthritis, inflammatory bowel disease, and psoriasis; HIV/AIDS and COVID-19 infectious diseases; mood disorders, neurodegenerative disorders, and schizophrenia; prostate cancer, hematologic malignancies, lung cancer, and bladder cancer; thrombosis, diabetes and macular degeneration; and pulmonary arterial hypertension. This segment serves retailers, wholesalers, distributors, hospitals, and healthcare professionals directly for prescription use. Its MedTech segment provides electrophysiology products to treat cardiovascular diseases; neurovascular care products to treat hemorrhagic and ischemic stroke; orthopaedics products in support of hips, knees, trauma, spine, sports, and other; advanced and general surgery solutions that focus on breast aesthetics, ear, nose, and throat procedures; and disposable contact lenses and ophthalmic products related to cataract and laser refractive surgery under the ACUVUE brand. This segment serves wholesalers, hospitals, and retailers. The company was founded in 1886 and is based in New Brunswick, New Jersey."
MDC,1.364836,8,2,2,0,2,2,"M.D.C. Holdings, Inc., through its subsidiaries, engages in the homebuilding and financial service businesses. Its homebuilding operations include purchasing finished lots or developing lots for the construction and sale primarily of single-family detached homes to first-time and first-time move-up homebuyers under the Richmond American Homes name. The company conducts its homebuilding operations in Arizona, California, Nevada, New Mexico, Oregon, Texas, Washington, Colorado, Idaho, Utah, Maryland, Pennsylvania, Virginia, Tennessee, and Florida. Its financial services operations comprise originating mortgage loans primarily for homebuyers; providing insurance coverage primarily to its homebuilding subsidiaries and subcontractors for homes sold by its homebuilding subsidiaries, and for work performed in completed subdivisions; acting as a re-insurer on the claims; selling third-party personal property and casualty insurance products to homebuyers; and offering title agency services to homebuilding subsidiaries and customers in Colorado, Florida, Maryland, Nevada, and Virginia. M.D.C. Holdings, Inc. was founded in 1972 and is headquartered in Denver, Colorado."
GSK,0.253953,8,2,1,1,2,2,"GSK plc, together with its subsidiaries, engages in the creation, discovery, development, manufacture, and marketing of pharmaceutical products, vaccines, over-the-counter medicines, and health-related consumer products in the United Kingdom, the United States, and internationally. It operates through four segments: Pharmaceuticals, Pharmaceuticals R&D, Vaccines, and Consumer Healthcare. The company offers pharmaceutical products comprising medicines in the therapeutic areas, such as respiratory, HIV, immuno-inflammation, oncology, anti-viral, central nervous system, cardiovascular and urogenital, metabolic, anti-bacterial, and dermatology. It also provides consumer healthcare products in wellness, oral health, nutrition, and skin health categories. The company offers its consumer healthcare products in the form of nasal sprays, tablets, syrups, lozenges, gum and trans-dermal patches, caplets, infant syrup drops, liquid filled suspension, wipes, gels, effervescents, toothpastes, toothbrushes, mouthwashes, denture adhesives and cleansers, topical creams and non-medicated patches, lip balm, gummies, and soft chews. It has collaboration agreements with 23andMe; Lyell Immunopharma, Inc.; Novartis; Sanofi SA; Surface Oncology; Progentec Diagnostics, Inc.; Alector, Inc.; and CureVac AG., as well as strategic partnership with IDEAYA Biosciences, Inc. and Vir Biotechnology, Inc. The company was formerly known as GlaxoSmithKline plc and changed its name to GSK plc in May 2022. GSK plc was founded in 1715 and is headquartered in Brentford, the United Kingdom."
GMAB,0.604695,8,2,2,2,2,0,"Genmab A/S develops antibody therapeutics for the treatment of cancer and other diseases primarily in Denmark. The company markets DARZALEX, a human monoclonal antibody for the treatment of patients with multiple myeloma (MM); teprotumumab for the treatment of thyroid eye disease; ofatumurnab, a human monoclonal antibody to treat chronic lymphocytic leukemia (CLL) and multiple sclerosis; and Amivantamab for advanced or metastatic gastric or esophageal cancer and NSCLC. Its products include daratumumab to treat MM, non-MM blood cancers, and AL amyloidosis; GEN1047; tisotumab vedotin for treating cervical, ovarian, and solid cancers; DuoBody-PD-L1x4-1BB, and DuoBody-CD40x4-1BB for treating solid tumors; Epcoritamab for relapsed/refractory diffuse large B-cell lymphoma and chronic lymphocytic leukemia; and HexaBody-CD38 and DuoHexaBody-CD37 for treating hematological malignancies. The company's also develops products, which is in Phase 2 comprise Teclistamab for vaso-occlusive crises; Camidanlumab tesirine to treat hodgkin lymphoma and solid tumors; JNJ-64007957 and JNJ-64407564 to treat MM; PRV-015 for treating celiac disease; Mim8 for treating haemophilia A; and Lu AF82422 for treating multiple system atrophy disease. In addition, it has approximately 20 active pre-clinical programs. The company has a commercial license and collaboration agreement with Seagen Inc. to co-develop tisotumab vedotin. It also has a collaboration agreement with CureVac AG for the research and development of differentiated mRNA-based antibody products; AbbVie for the development of epcoritamab; and collaborations with BioNTech, Janssen, Novo Nordisk A/S, BliNK Biomedical SAS, and Bolt Biotherapeutics, Inc. Genmab A/S was founded in 1999 and is headquartered in Copenhagen, Denmark."
PBH,0.513835,8,2,2,1,2,1,"Prestige Consumer Healthcare Inc., together with its subsidiaries, develops, manufactures, markets, distributes, and sells over-the-counter (OTC) health and personal care products in the United States and internationally. The company operates in two segments, North American OTC Healthcare and International OTC Healthcare. It offers BC/Goody's analgesic powders, Boudreaux's Butt Paste baby ointments, Chloraseptic sore throat liquids and lozenges, Clear Eyes for eye redness relief, Compound W wart removals, DenTek for PEG oral care, Debrox ear wax removals, and Dramamine for motion sickness relief. The company also provides Fleet adult enemas/suppositories, Gaviscon upset stomach remedies, Luden's cough drops, Monistat vaginal anti-fungal, Nix lice/parasite treatments, Summer's Eve feminine hygiene, TheraTears dry eye relief, Fess nasal saline spray and washes, and Hydralyte for oral rehydration products. It sells its products through mass merchandisers; and drug, food, dollar, convenience, and club stores, as well as e-commerce channels. The company was formerly known as Prestige Brands Holdings, Inc. and changed its name to Prestige Consumer Healthcare Inc. in August 2018. Prestige Consumer Healthcare Inc. was founded in 1996 and is headquartered in Tarrytown, New York."
AMGN,0.581524,7,2,1,2,0,2,"Amgen Inc. discovers, develops, manufactures, and delivers human therapeutics worldwide. It focuses on inflammation, oncology/hematology, bone health, cardiovascular disease, nephrology, and neuroscience areas. The company's products include Enbrel to treat plaque psoriasis, rheumatoid arthritis, and psoriatic arthritis; Neulasta that reduces the chance of infection due a low white blood cell count in patients cancer; Prolia to treat postmenopausal women with osteoporosis; Xgeva for skeletal-related events prevention; Otezla for the treatment of adult patients with plaque psoriasis, psoriatic arthritis, and oral ulcers associated with Behçet's disease; Aranesp to treat a lower-than-normal number of red blood cells and anemia; KYPROLIS to treat patients with relapsed or refractory multiple myeloma; and Repatha, which reduces the risks of myocardial infarction, stroke, and coronary revascularization. It also markets Nplate, Vectibix, MVASI, Parsabiv, EPOGEN, KANJINTI, BLINCYTO, Aimovig, EVENITY, AMGEVITATM, Sensipar/Mimpara, NEUPOGEN, IMLYGIC, Corlanor, and AVSOLA. Amgen Inc. serves healthcare providers, including physicians or their clinics, dialysis centers, hospitals, and pharmacies. It distributes its products through pharmaceutical wholesale distributors, as well as direct-to-consumer channels. It has collaboration agreements with Novartis Pharma AG; UCB; Bayer HealthCare LLC; BeiGene, Ltd.; Eli Lilly and Company; Datos Health; and Verastem, Inc. to evaluate VS-6766 in combination with lumakrastm (Sotorasib) in patients with KRAS G12C-mutant non-small cell lung cancer. It has an agreement with Kyowa Kirin Co., Ltd. to jointly develop and commercialize KHK4083, a Phase 3-ready anti-OX40 fully human monoclonal antibody for the treatment of atopic dermatitis and other autoimmune diseases; and research and development collaboration with Neumora Therapeutics, Inc. and Plexium, Inc. Amgen Inc. was incorporated in 1980 and is headquartered in Thousand Oaks, California."
GILD,0.39123,7,2,1,1,1,2,"Gilead Sciences, Inc., a biopharmaceutical company, discovers, develops, and commercializes medicines in the areas of unmet medical need in the United States, Europe, and internationally. The company provides Biktarvy, Genvoya, Descovy, Odefsey, Truvada, Complera/ Eviplera, Stribild, and Atripla products for the treatment of HIV/AIDS; Veklury, an injection for intravenous use, for the treatment of coronavirus disease 2019; and Epclusa, Harvoni, Vosevi, Vemlidy, and Viread for the treatment of liver diseases. It also offers Yescarta, Tecartus, Trodelvy, and Zydelig products for the treatment of hematology, oncology, and cell therapy patients. In addition, the company provides Letairis, an oral formulation for the treatment of pulmonary arterial hypertension; Ranexa, an oral formulation for the treatment of chronic angina; and AmBisome, a liposomal formulation for the treatment of serious invasive fungal infections. Gilead Sciences, Inc. has collaboration agreements with Arcus Biosciences, Inc.; Pionyr Immunotherapeutics Inc.; Tizona Therapeutics, Inc.; Tango Therapeutics, Inc.; Jounce Therapeutics, Inc.; Galapagos NV; Janssen Sciences Ireland Unlimited Company; Japan Tobacco, Inc.; Gadeta B.V.; Bristol-Myers Squibb Company; Dragonfly Therapeutics, Inc.; and Merck & Co, Inc. The company was incorporated in 1987 and is headquartered in Foster City, California."
MRK,0.35547,6,2,-1,2,2,-1,"Merck & Co., Inc. operates as a healthcare company worldwide. It operates through two segments, Pharmaceutical and Animal Health. The Pharmaceutical segment offers human health pharmaceutical products in the areas of oncology, hospital acute care, immunology, neuroscience, virology, cardiovascular, and diabetes, as well as vaccine products, such as preventive pediatric, adolescent, and adult vaccines. The Animal Health segment discovers, develops, manufactures, and markets veterinary pharmaceuticals, vaccines, and health management solutions and services, as well as digitally connected identification, traceability, and monitoring products. It serves drug wholesalers and retailers, hospitals, and government agencies; managed health care providers, such as health maintenance organizations, pharmacy benefit managers, and other institutions; and physicians and physician distributors, veterinarians, and animal producers. The company has collaborations with AstraZeneca PLC; Bayer AG; Eisai Co., Ltd.; Ridgeback Biotherapeutics; and Gilead Sciences, Inc. to jointly develop and commercialize long-acting treatments in HIV. Merck & Co., Inc. was founded in 1891 and is headquartered in Kenilworth, New Jersey."
