,beta,score,forwardPE,currentRatio,profitMargin,debtToEquity,returnOnEquity,longBusinessSummary
BRML3,-1.0,-1,-1,-1,-1,-1,-1,-1
000002,-1.0,-1,-1,-1,-1,-1,-1,-1
600007,-1.0,-1,-1,-1,-1,-1,-1,-1
DLR,0.33163,-1,0,0,2,2,0,"Digital Realty supports the world's leading enterprises and service providers by delivering the full spectrum of data center, colocation and interconnection solutions. PlatformDIGITALR, the company's global data center platform, provides customers a trusted foundation and proven Pervasive Datacenter Architecture PDxTM solution methodology for scaling digital business and efficiently managing data gravity challenges. Digital Realty's global data center footprint gives customers access to the connected communities that matter to them with more than 284 facilities in 48 metros across 23 countries on six continents."
EXR,0.481481,-1,0,2,2,1,2,"Extra Space Storage Inc., headquartered in Salt Lake City, Utah, is a self-administered and self-managed REIT and a member of the S&P 500. As of September 30, 2020, the Company owned and/or operated 1,906 self-storage stores in 40 states, Washington, D.C. and Puerto Rico. The Company's stores comprise approximately 1.4 million units and approximately 147.5 million square feet of rentable space. The Company offers customers a wide selection of conveniently located and secure storage units across the country, including boat storage, RV storage and business storage. The Company is the second largest owner and/or operator of self-storage stores in the United States and is the largest self-storage management company in the United States."
IRM,0.865048,-1,0,0,0,0,2,"Iron Mountain Incorporated (NYSE: IRM), founded in 1951, is the global leader for storage and information management services. Trusted by more than 225,000 organizations around the world, and with a real estate network of more than 90 million square feet across approximately 1,450 facilities in approximately 50 countries, Iron Mountain stores and protects billions of valued assets, including critical business information, highly sensitive data, and cultural and historical artifacts. Providing solutions that include secure records storage, information management, digital transformation, secure destruction, as well as data centers, cloud services and art storage and logistics, Iron Mountain helps customers lower cost and risk, comply with regulations, recover from disaster, and enable a more digital way of working."
MULT3,-1.0,-1,-1,-1,-1,-1,-1,-1
DOC,0.771817,-1,0,1,1,2,0,"Physicians Realty Trust is a self-managed healthcare real estate company organized to acquire, selectively develop, own and manage healthcare properties that are leased to physicians, hospitals and healthcare delivery systems. The Company invests in real estate that is integral to providing high quality healthcare. The Company conducts its business through an UPREIT structure in which its properties are owned by Physicians Realty L.P., a Delaware limited partnership (the operating partnership), directly or through limited partnerships, limited liability companies or other subsidiaries. The Company is the sole general partner of the operating partnership and, as of September 30, 2020, owned approximately 97.4% of OP Units."
PSA,0.324393,-1,0,1,2,2,2,"Public Storage, a member of the S&P 500 and FT Global 500, is a REIT that primarily acquires, develops, owns and operates self-storage facilities. At September 30, 2020, we had: (i) interests in 2,504 self-storage facilities located in 38 states with approximately 171 million net rentable square feet in the United States, (ii) an approximate 35% common equity interest in Shurgard Self Storage SA (Euronext Brussels:SHUR) which owned 239 self-storage facilities located in seven Western European nations with approximately 13 million net rentable square feet operated under the Shurgard brand and (iii) an approximate 42% common equity interest in PS Business Parks, Inc. (NYSE:PSB) which owned and operated approximately 28 million rentable square feet of commercial space at September 30, 2020. Our headquarters are located in Glendale, California."
GEO,0.642401,-1,2,2,0,0,0,"The GEO Group, Inc. (NYSE: GEO) is a leading diversified government service provider, specializing in design, financing, development, and support services for secure facilities, processing centers, and community reentry centers in the United States, Australia, South Africa, and the United Kingdom. GEO's diversified services include enhanced in-custody rehabilitation and post-release support through the award-winning GEO Continuum of Care®, secure transportation, electronic monitoring, community-based programs, and correctional health and mental health care. GEO's worldwide operations include the ownership and/or delivery of support services for 103 facilities totaling approximately 83,000 beds, including idle facilities and projects under development, with a workforce of up to approximately 18,000 employees."
