,beta,score,forwardPE,currentRatio,profitMargin,debtToEquity,returnOnEquity,longBusinessSummary
UGI,0.977011,7,2,1,1,1,2,"UGI Corporation distributes, stores, transports, and markets energy products and related services in the United States and internationally. The company operates through four segments: AmeriGas Propane, UGI International, Midstream & Marketing, and UGI Utilities. It distributes propane to approximately 1.4 million residential, commercial/industrial, motor fuel, agricultural, and wholesale customers through 1,600 propane distribution location. The company also distributes liquefied petroleum gases (LPG) to residential, commercial, industrial, agricultural, wholesale and automobile fuel customers; and provides logistics, storage, and other services to third-party LPG distributors. In addition, it engages in the retail sale of natural gas, liquid fuels, and electricity to approximately 12,600 residential, commercial, and industrial customers at 42,400 locations. Further, the company distributes natural gas to approximately 672,000 customers in eastern and central Pennsylvania counties through its distribution system of approximately 12,400 miles of gas mains; and supplies electricity to approximately 62,500 customers in northeastern Pennsylvania through 2,600 miles of lines and 14 substations. Additionally, it operates electric generation facilities, which include coal-fired, landfill gas-fueled, solar-powered, and natural gas-fueled facilities; a natural gas liquefaction, storage, and vaporization facility; propane storage and propane-air mixing stations; and rail transshipment terminals. It also manages natural gas pipeline and storage contracts; develops, owns, and operates pipelines, gathering infrastructure, and gas storage facilities. UGI Corporation was incorporated in 1991 and is based in King of Prussia, Pennsylvania."
NFG,0.682418,7,2,0,2,1,2,"National Fuel Gas Company operates as a diversified energy company. It operates through four segments: Exploration and Production, Pipeline and Storage, Gathering, and Utility. The Exploration and Production segment explores for, develops, and produces natural gas and oil in California and in the Appalachian region of the United States. As of September 30, 2021, it had proved developed and undeveloped reserves of 21,537 thousand barrels of oil and 3,723,433 million cubic feet of natural gas. The Pipeline and Storage segment provides interstate natural gas transportation and storage services through an integrated gas pipeline system in Pennsylvania and New York; and owns and operates underground natural gas storage fields. This segment also transports natural gas for National Fuel Gas Distribution Corporation, as well as for other utilities, industrial companies, and power producers in New York State; and owns and operates the Empire Pipeline. The Gathering segment builds, owns, and operates natural gas processing and pipeline gathering facilities in the Appalachian region, as well as provides gathering services to Seneca Resources Company, LLC. The Utility segment sells natural gas or provides natural gas transportation services to approximately 753,000 customers in Buffalo, Niagara Falls, and Jamestown, New York; and Erie and Sharon, Pennsylvania. The company markets gas to industrial, wholesale, commercial, public authority, and residential customers primarily in western and central New York, and northwestern Pennsylvania. As of September 30, 2021, the company also owned approximately 95,000 acres of timber property; and managed approximately 2,500 additional acres of timber cutting rights. National Fuel Gas Company was incorporated in 1902 and is headquartered in Williamsville, New York."
AEP,0.357173,-1,2,0,1,1,0,"American Electric Power Company, Inc., an electric public utility holding company, engages in the generation, transmission, and distribution of electricity for sale to retail and wholesale customers in the United States. It operates through Vertically Integrated Utilities, Transmission and Distribution Utilities, AEP Transmission Holdco, and Generation & Marketing segments. The company generates electricity using coal and lignite, natural gas, nuclear, hydro, solar, wind, and other energy sources. It also supplies and markets electric power at wholesale to other electric utility companies, rural electric cooperatives, municipalities, and other market participants. American Electric Power Company, Inc. was incorporated in 1906 and is headquartered in Columbus, Ohio."
MSEX,0.536398,-1,0,0,2,2,0,"Middlesex Water Company owns and operates regulated water utility and wastewater systems. It operates in two segments, Regulated and Non-Regulated. The Regulated segment collects, treats, and distributes water on a retail and wholesale basis to residential, commercial, industrial, and fire protection customers, as well as provides regulated wastewater systems in New Jersey and Delaware. The Non-Regulated segment provides non-regulated contract services for the operation and maintenance of municipal and private water and wastewater systems in New Jersey and Delaware. The company was incorporated in 1896 and is headquartered in Iselin, New Jersey."
YORW,0.461472,-1,0,0,2,2,0,"The York Water Company impounds, purifies, and distributes drinking water. It owns and operates three wastewater collection systems; five wastewater collection and treatment systems; and two reservoirs, including Lake Williams and Lake Redman, which hold approximately 2.2 billion gallons of water. The company also operates a 15-mile pipeline from the Susquehanna River to Lake Redman; and owns nine groundwater wells that supply water to customers in the Adams County. It serves customers in the fixtures and furniture, electrical machinery, food products, paper, ordnance units, textile products, air conditioning systems, laundry detergents, barbells, and motorcycle industries in 51 municipalities within three counties in south-central Pennsylvania. The York Water Company was incorporated in 1816 and is based in York, Pennsylvania."
500400,-1.0,-1,-1,-1,-1,-1,-1,-1
SSE,-1.0,-1,-1,-1,-1,-1,-1,-1
SO,0.487441,-1,1,0,0,1,0,"The Southern Company, through its subsidiaries, engages in the generation, transmission, and distribution of electricity. It operates through Gas Distribution Operations, Gas Pipeline Investments, Wholesale Gas Services, and Gas Marketing Services segments. The company also develops, constructs, acquires, owns, and manages power generation assets, including renewable energy projects and sells electricity in the wholesale market; and distributes natural gas in Illinois, Georgia, Virginia, and Tennessee, as well as provides gas marketing services, wholesale gas services, and gas pipeline investments operations. In addition, it owns and/or operates 30 hydroelectric generating stations, 24 fossil fuel generating stations, three nuclear generating stations, 13 combined cycle/cogeneration stations, 45 solar facilities, 15 wind facilities, one fuel cell facility, and four battery storage facility; and constructs, operates, and maintains 76,289 miles of natural gas pipelines and 14 storage facilities with total capacity of 157 Bcf to provide natural gas to residential, commercial, and industrial customers. The company serves approximately 8.7 million electric and gas utility customers. Further, the company offers digital wireless communications and fiber optics services. The Southern Company was incorporated in 1945 and is headquartered in Atlanta, Georgia."
SJW,0.548318,-1,1,0,0,1,0,"SJW Group, through its subsidiaries, provides water utility services in the United States. It engages in the production, purchase, storage, purification, distribution, wholesale, and retail sale of water and wastewater services. The company also provides non-tariffed services, including water system operations, maintenance agreements, and antenna site leases; contracted services and sewer operations to water utilities; and a Linebacker protection plan for public drinking water customers in Connecticut and Maine. Its water supply consists of groundwater from wells, surface water from watershed run-off and diversion, reclaimed water, and imported water purchased from the Santa Clara Valley Water District. The company offers water service to approximately 231,000 connections that serve approximately one million people residing in portions of the cities of San Jose and Cupertino, as well as in the cities of Campbell, Monte Sereno, Saratoga, and the Town of Los Gatos; and adjacent unincorporated territories in the County of Santa Clara in the State of California. In addition, it provides water service to approximately 140,000 connections, which serve approximately 456,000 people in 81 municipalities with a service area comprising approximately 269 square miles throughout Connecticut and Maine, as well as approximately 24,000 connections that serve approximately 70,000 people in a service area comprising approximately 266 square miles in the region between San Antonio and Austin, Texas; and approximately 3,000 wastewater connections in Southbury, Connecticut. Further, the company owns undeveloped land in California and Tennessee; and owns and operates commercial buildings and warehouse properties in Tennessee. The company was formerly known as SJW Corp. and changed its name to SJW Group in November 2016. SJW Group was incorporated in 1985 and is headquartered in San Jose, California."
533206,-1.0,-1,-1,-1,-1,-1,-1,-1
